prompt,status,response
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"We regret to inform you that jet <MASKED_FLIGHT_NUM> is cancelled. For assistance, please reach out to customer support."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,DELAYED,plane <MASKED_FLIGHT_NUM> has been delayed. Please check the updated departure time: <MASKED_FLIGHT_TIME>.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DEPARTED,carrier <MASKED_FLIGHT_NUM> has already left for its journey.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DEPARTED,flight <MASKED_FLIGHT_NUM> has taken off and is in the air.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",DEPARTED,The flight airline <MASKED_FLIGHT_NUM> is currently en route.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DEPARTED,The flight flight <MASKED_FLIGHT_NUM> is currently airborne and heading to its destination.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DELAYED,carrier <MASKED_FLIGHT_NUM> is delayed. We expect a departure at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DELAYED,A delay impacts jet <MASKED_FLIGHT_NUM>. Expected departure is at <MASKED_FLIGHT_TIME>.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,DELAYED,A delay affects aircraft <MASKED_FLIGHT_NUM>. New departure time: <MASKED_FLIGHT_TIME>.
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"There are no changes for plane <MASKED_FLIGHT_NUM>, it will depart on time at <MASKED_FLIGHT_TIME>."
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,"The status of aircraft <MASKED_FLIGHT_NUM> is on time, departing at <MASKED_FLIGHT_TIME>."
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Sadly, jet <MASKED_FLIGHT_NUM> is cancelled. Please contact support for a new booking or travel information."
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,BOARDING,Passengers are boarding for airplane <MASKED_FLIGHT_NUM>.
What’s the current status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,We’re pleased to confirm that plane <MASKED_FLIGHT_NUM> will depart as scheduled at <MASKED_FLIGHT_TIME>.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DELAYED,There has been a delay for plane <MASKED_FLIGHT_NUM>. The new time is <MASKED_FLIGHT_TIME>.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,There’s a delay with carrier <MASKED_FLIGHT_NUM>. The updated departure time is <MASKED_FLIGHT_TIME>.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,CANCELLED,"We apologize for the inconvenience, but plane <MASKED_FLIGHT_NUM> is cancelled. Please contact customer support for your options."
Is service <MASKED_FLIGHT_NUM> expected to leave on time today?,ON_TIME,All is clear! flight <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as scheduled.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,The gate for service <MASKED_FLIGHT_NUM> is now open for boarding.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is now en route to the destination.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,BOARDING,Gate entry gate has been opened for jet <MASKED_FLIGHT_NUM> boarding.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,ON_TIME,Everything looks great for carrier <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Sadly, service <MASKED_FLIGHT_NUM> will not be departing. Please reach out to customer service for help with rebooking.We're sorry, but service <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team for rebooking options."
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,We're sorry to inform you that airline <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,ON_TIME,We’re happy to inform you that carrier <MASKED_FLIGHT_NUM> is on schedule and will depart at <MASKED_FLIGHT_TIME>.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,"Due to unforeseen circumstances, flight <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>."
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> has been delayed. The new departure time is <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,ON_TIME,We’re happy to confirm that flight <MASKED_FLIGHT_NUM> is departing at <MASKED_FLIGHT_TIME> on time.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is no longer at the gate.
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> is already in the air.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,The flight plane <MASKED_FLIGHT_NUM> is already in flight and on its way.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,CANCELLED,"Regrettably, flight <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer support to reschedule your flight."
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,BOARDING,Flight aircraft <MASKED_FLIGHT_NUM> is in the boarding stage at gate departure point.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> has already left the airport and is now airborne.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DELAYED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,DELAYED,flight <MASKED_FLIGHT_NUM> has been delayed. The new estimated departure time is <MASKED_FLIGHT_TIME>.
Is the airplane <MASKED_FLIGHT_NUM> confirmed to depart as planned?,ON_TIME,Enjoy your journey! flight <MASKED_FLIGHT_NUM> is departing on time at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"We're sorry, but aircraft <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer service to reschedule."
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We apologize, but airplane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer support for alternative flight options."
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> is already airborne and on its way.
Do you have any updates about service <MASKED_FLIGHT_NUM>?,BOARDING,"Gate flight entry gate is open, and aircraft <MASKED_FLIGHT_NUM> is boarding passengers."
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,BOARDING,airplane <MASKED_FLIGHT_NUM> has opened its gates for boarding.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,DELAYED,The delay for airline <MASKED_FLIGHT_NUM> is confirmed. The new departure time is <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is already on its way to its destination.
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,BOARDING,Boarding for jet <MASKED_FLIGHT_NUM> is in progress at gate boarding station.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> is already airborne and en route.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",CANCELLED,We apologize for the inconvenience. airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service to explore your options.
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,BOARDING,"Gate entryway is open, and flight <MASKED_FLIGHT_NUM> is ready to board passengers."
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,CANCELLED,We regret to inform you that aircraft <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer service for rescheduling.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,airline <MASKED_FLIGHT_NUM> has a revised departure time: <MASKED_FLIGHT_TIME>.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,BOARDING,Boarding for airplane <MASKED_FLIGHT_NUM> is now open at gate passenger gate.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,ON_TIME,Expect plane <MASKED_FLIGHT_NUM> to leave at <MASKED_FLIGHT_TIME>. It’s on time.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,We’re happy to report that service <MASKED_FLIGHT_NUM> is departing on time at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,The flight service <MASKED_FLIGHT_NUM> is now boarding passengers at gate gate.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,BOARDING,The flight jet <MASKED_FLIGHT_NUM> is currently in the process of boarding at gate boarding station.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,BOARDING,The flight aircraft <MASKED_FLIGHT_NUM> is now boarding at gate flight access point.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,BOARDING,Please proceed to gate flight gate for the boarding of airline <MASKED_FLIGHT_NUM>.
What’s the current status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Gate terminal entrance is now accepting passengers for plane <MASKED_FLIGHT_NUM> boarding.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,ON_TIME,Feel at ease; airplane <MASKED_FLIGHT_NUM> is on schedule for <MASKED_FLIGHT_TIME>.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Unfortunately, service <MASKED_FLIGHT_NUM> is no longer operating. Please get in touch with customer support for rebooking."
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,ON_TIME,We have no delays for service <MASKED_FLIGHT_NUM>. The flight will depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,"Everything is on track for plane <MASKED_FLIGHT_NUM>, departing at <MASKED_FLIGHT_TIME> on time."
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,DELAYED,jet <MASKED_FLIGHT_NUM> has experienced a delay. New time of departure: <MASKED_FLIGHT_TIME>.
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,BOARDING,Boarding has started for plane <MASKED_FLIGHT_NUM> at gate entry gate.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DELAYED,"Unfortunately, there has been a delay for airline <MASKED_FLIGHT_NUM>. Departure will be at <MASKED_FLIGHT_TIME>."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,BOARDING,plane <MASKED_FLIGHT_NUM> is currently in the process of boarding passengers.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,The flight aircraft <MASKED_FLIGHT_NUM> is confirmed for departure at <MASKED_FLIGHT_TIME> without any delays.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,CANCELLED,"We apologize for the inconvenience, but airplane <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer support for your options."
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DELAYED,We regret the delay with airplane <MASKED_FLIGHT_NUM>. It will now depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,"Sadly, flight <MASKED_FLIGHT_NUM> has been cancelled. Our team is available for rebooking and assistance."
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,CANCELLED,We're sorry to report that airplane <MASKED_FLIGHT_NUM> has been cancelled. Contact support for help with your next steps.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,There has been a delay for jet <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,DELAYED,"Due to unforeseen circumstances, jet <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>."
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,ON_TIME,"Still on track, jet <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,There is a delay with service <MASKED_FLIGHT_NUM>. The revised time is <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is running on schedule?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has already departed.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> is cancelled. Please get in touch with support to help you rebook."
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Sadly, jet <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with customer support to reschedule your flight."
Is aircraft <MASKED_FLIGHT_NUM> still departing as planned?,CANCELLED,We regret to inform you that plane <MASKED_FLIGHT_NUM> has been cancelled. Please speak with support for rebooking.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DELAYED,The current schedule shows flight <MASKED_FLIGHT_NUM> departing later than expected at <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, plane <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team to make alternative arrangements."
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,CANCELLED,We're sorry to report that aircraft <MASKED_FLIGHT_NUM> has been cancelled. Contact support for help with your next steps.
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,CANCELLED,"Apologies, but airline <MASKED_FLIGHT_NUM> has been cancelled. Please contact our support team for further assistance."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Sadly, airline <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer support for further assistance."
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,BOARDING,Gate gate position is now open for airplane <MASKED_FLIGHT_NUM> boarding.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,BOARDING,The gate for jet <MASKED_FLIGHT_NUM> is now open for boarding passengers.
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Your flight, jet <MASKED_FLIGHT_NUM>, is delayed. The new scheduled time is <MASKED_FLIGHT_TIME>."
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,ON_TIME,Your flight flight <MASKED_FLIGHT_NUM> is on schedule and will depart at <MASKED_FLIGHT_TIME>.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with customer support to rebook."
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,DELAYED,Expect a delay for service <MASKED_FLIGHT_NUM>. The adjusted departure is at <MASKED_FLIGHT_TIME>.
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,BOARDING,The boarding process for flight <MASKED_FLIGHT_NUM> is currently in progress.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> has already departed and is on its way.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,ON_TIME,Stay on time! service <MASKED_FLIGHT_NUM> departs promptly at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DEPARTED,airline <MASKED_FLIGHT_NUM> has already left the airport and is en route.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,BOARDING,Gate airside gate is currently open for boarding for service <MASKED_FLIGHT_NUM>.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,BOARDING,Boarding has started at gate departure gate for flight <MASKED_FLIGHT_NUM>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DELAYED,There has been a delay with service <MASKED_FLIGHT_NUM>. The new expected departure time is <MASKED_FLIGHT_TIME>.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,ON_TIME,airline <MASKED_FLIGHT_NUM> is all set to leave at <MASKED_FLIGHT_TIME> with no delays.
Can you confirm that plane <MASKED_FLIGHT_NUM> is running as scheduled?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> will not be departing. Contact support for information on how to rebook your flight."
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,BOARDING,Gate airside gate has been opened for airplane <MASKED_FLIGHT_NUM> boarding.
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,ON_TIME,Your flight airplane <MASKED_FLIGHT_NUM> is departing as scheduled at <MASKED_FLIGHT_TIME>.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,ON_TIME,airplane <MASKED_FLIGHT_NUM> is on schedule and leaving on time at <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",ON_TIME,The flight aircraft <MASKED_FLIGHT_NUM> is ready to depart on time at <MASKED_FLIGHT_TIME>.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,The boarding gate for aircraft <MASKED_FLIGHT_NUM> is open for passengers.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has departed and is currently en route.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,ON_TIME,Perfect! carrier <MASKED_FLIGHT_NUM> is on time and ready to depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,DELAYED,There’s been a delay for airline <MASKED_FLIGHT_NUM>. The departure time is rescheduled to <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,"We’re sorry to inform you that flight <MASKED_FLIGHT_NUM> has been cancelled. For rebooking assistance, please contact our support team."
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,All prepared! plane <MASKED_FLIGHT_NUM> is on time for <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,Flight aircraft <MASKED_FLIGHT_NUM> has already left the airport and is now on its way.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,DELAYED,airline <MASKED_FLIGHT_NUM> is delayed. Apologies for the inconvenience. New departure time: <MASKED_FLIGHT_TIME>.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"Unfortunately, flight <MASKED_FLIGHT_NUM> has been cancelled. Please get in touch with our team for alternative travel options."
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> is on its way.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,DELAYED,airplane <MASKED_FLIGHT_NUM> is delayed. Updated departure time: <MASKED_FLIGHT_TIME>.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Apologies, but service <MASKED_FLIGHT_NUM> has been cancelled. Please contact us for rebooking assistance."
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,"Due to unforeseen circumstances, flight <MASKED_FLIGHT_NUM> is delayed. It’s now scheduled for <MASKED_FLIGHT_TIME>."
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,plane <MASKED_FLIGHT_NUM> is already in flight.
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,ON_TIME,Everything is on track for jet <MASKED_FLIGHT_NUM>. Departure is at <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Sadly, flight <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer support for further assistance."
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,BOARDING,Boarding for carrier <MASKED_FLIGHT_NUM> is now in progress at gate flight access point.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,BOARDING,Boarding is currently happening for airline <MASKED_FLIGHT_NUM>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,BOARDING,Boarding for aircraft <MASKED_FLIGHT_NUM> is now in progress at gate terminal gate.
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> has already departed.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,BOARDING,Boarding for airline <MASKED_FLIGHT_NUM> is now active at gate gate position.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,All systems are go! airline <MASKED_FLIGHT_NUM> will depart on time at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DELAYED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> is delayed. The new departure time is <MASKED_FLIGHT_TIME>."
Is aircraft <MASKED_FLIGHT_NUM> still departing as planned?,CANCELLED,"We apologize for the inconvenience, but airplane <MASKED_FLIGHT_NUM> has been cancelled. Contact support to explore rebooking options."
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, airline <MASKED_FLIGHT_NUM> is no longer operating. Please contact customer support for information on alternatives."
Is airplane <MASKED_FLIGHT_NUM> still on time?,BOARDING,Boarding has started for service <MASKED_FLIGHT_NUM> at gate boarding area.
Is the flight <MASKED_FLIGHT_NUM> on time?,BOARDING,Boarding for plane <MASKED_FLIGHT_NUM> has started and is happening at gate flight gate.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,BOARDING,carrier <MASKED_FLIGHT_NUM> is now open for boarding.
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,BOARDING,Now boarding for service <MASKED_FLIGHT_NUM> at gate departure gate.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,aircraft <MASKED_FLIGHT_NUM> is actively boarding at this time.
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,ON_TIME,airplane <MASKED_FLIGHT_NUM> is ready to depart on time at <MASKED_FLIGHT_TIME>.
Do you know the current departure time for flight <MASKED_FLIGHT_NUM>?,DELAYED,"Apologies, but jet <MASKED_FLIGHT_NUM> has been delayed. New departure time: <MASKED_FLIGHT_TIME>."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,BOARDING,Boarding for airline <MASKED_FLIGHT_NUM> is now open at gate check-in gate.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,CANCELLED,"We're sorry, but carrier <MASKED_FLIGHT_NUM> is no longer operating. Please contact customer service for alternate arrangements."
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Due to unforeseen circumstances, aircraft <MASKED_FLIGHT_NUM> is delayed. It’s now scheduled for <MASKED_FLIGHT_TIME>."
Is service <MASKED_FLIGHT_NUM> expected to leave on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,CANCELLED,We regret to inform you that aircraft <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service for further assistance.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> has left the airport and is heading to its destination.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,DELAYED,"Due to operational issues, carrier <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,ON_TIME,The schedule for jet <MASKED_FLIGHT_NUM> remains unchanged at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is running on time?,ON_TIME,The flight airline <MASKED_FLIGHT_NUM> is leaving on time at <MASKED_FLIGHT_TIME> as scheduled.
Is the flight <MASKED_FLIGHT_NUM> on time?,ON_TIME,flight <MASKED_FLIGHT_NUM> continues to stay on time and departs at <MASKED_FLIGHT_TIME>.
Is aircraft <MASKED_FLIGHT_NUM> still leaving on time today?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to our support team to explore your options."
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,DELAYED,An operational delay has affected jet <MASKED_FLIGHT_NUM>. Expected departure: <MASKED_FLIGHT_TIME>.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,ON_TIME,"Rest assured, service <MASKED_FLIGHT_NUM> is still on time and departing at <MASKED_FLIGHT_TIME>."
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,BOARDING,Boarding for airplane <MASKED_FLIGHT_NUM> is now underway at gate departure gate.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, jet <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for help with your travel plans."
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DELAYED,We’re sorry to report a delay for service <MASKED_FLIGHT_NUM>. The departure time has been changed to <MASKED_FLIGHT_TIME>.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,ON_TIME,"Your flight service <MASKED_FLIGHT_NUM> is good to go, leaving at <MASKED_FLIGHT_TIME>."
Do you know if aircraft <MASKED_FLIGHT_NUM> is leaving on schedule?,DELAYED,"Unfortunately, flight <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> due to a delay."
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,ON_TIME,Everything’s looking good for jet <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> is now in flight.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Your flight flight <MASKED_FLIGHT_NUM> is all set to depart at <MASKED_FLIGHT_TIME> on time.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,ON_TIME,"airplane <MASKED_FLIGHT_NUM> is on time, leaving at <MASKED_FLIGHT_TIME> as planned."
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DELAYED,Your flight carrier <MASKED_FLIGHT_NUM> is delayed. Please note the revised time: <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is available now.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,Your patience is appreciated. carrier <MASKED_FLIGHT_NUM> is delayed until <MASKED_FLIGHT_TIME>.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,The schedule holds steady for carrier <MASKED_FLIGHT_NUM>. Departure is <MASKED_FLIGHT_TIME>.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,BOARDING,The flight airline <MASKED_FLIGHT_NUM> is actively boarding passengers.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,A delay has occurred for aircraft <MASKED_FLIGHT_NUM>. New schedule: <MASKED_FLIGHT_TIME>.
